,precision,recall,f1-score,support
0.0,0.9571755475645636,0.7641915698812476,0.8498657572019447,7663.0
1.0,0.9781620553359683,0.9092495636998255,0.9424477555100681,10887.0
2.0,0.9211850195640022,0.9374288964732651,0.9292359740625881,1758.0
3.0,0.8855145818269462,0.7657357232180075,0.8212808762713759,4798.0
4.0,0.9280720623823608,0.8151865847897969,0.8679743493021501,8468.0
5.0,0.8864541832669323,0.8965748824714573,0.8914858096828047,2978.0
6.0,0.8858342878961436,0.8529411764705882,0.8690766061060123,2720.0
7.0,0.1905865573185951,0.6757269279393173,0.29731608955638994,1582.0
accuracy,0.8331864688892152,0.8331864688892152,0.8331864688892152,0.8331864688892152
macro avg,0.8291230368944391,0.8271294156179382,0.8085854022116667,40854.0
weighted avg,0.9071811994959473,0.8331864688892152,0.8612656398844977,40854.0
