,precision,recall,f1-score,support
LABEL_0,0.638431752178122,0.8606289964765758,0.7330628577780248,7663.0
LABEL_1,0.7965232041660285,0.9553596031964728,0.8687408644811025,10887.0
LABEL_2,0.0,0.0,0.0,1758.0
LABEL_3,0.5581723311239599,0.8249270529387245,0.6658255530322147,4798.0
LABEL_4,0.7062168674698796,0.8652574397732641,0.7776893276017619,8468.0
LABEL_5,0.0,0.0,0.0,2978.0
LABEL_6,0.0,0.0,0.0,2720.0
LABEL_7,0.0,0.0,0.0,1582.0
accuracy,0.6922455573505655,0.6922455573505655,0.6922455573505655,0.6922455573505655
macro avg,0.33741801936724874,0.4382716365481297,0.380664825361638,40854.0
weighted avg,0.5439468820473932,0.6922455573505655,0.6083993415660413,40854.0
