,precision,recall,f1-score,support
0.0,0.9274831526516262,0.8261777371786506,0.8739043412243771,7663.0
1.0,0.974274020658741,0.9183429778635069,0.9454820558891673,10887.0
2.0,0.9125412541254125,0.9436860068259386,0.9278523489932886,1758.0
3.0,0.7730640978140052,0.8697373905794081,0.8185562965868968,4798.0
4.0,0.9017015546578528,0.8698630136986302,0.8854961832061069,8468.0
5.0,0.8711875405580791,0.9016118200134319,0.8861386138613861,2978.0
6.0,0.8177837655776355,0.8926470588235295,0.8535770785726842,2720.0
7.0,0.3944206008583691,0.5809102402022756,0.46983640081799594,1582.0
accuracy,0.8703921280657952,0.8703921280657952,0.8703921280657952,0.8703921280657952
macro avg,0.8215569983627152,0.8503720306481715,0.8326054148939879,40854.0
weighted avg,0.8837808836662007,0.8703921280657952,0.8750943104984136,40854.0
