,precision,recall,f1-score,support
LABEL_0,0.5567989467744969,0.7726738875114185,0.6472099251243373,7663.0
LABEL_1,0.6948191187659957,0.9226600532745476,0.7926925505050505,10887.0
LABEL_2,0.0,0.0,0.0,1758.0
LABEL_3,0.0,0.0,0.0,4798.0
LABEL_4,0.46076254520078663,0.8576995748700992,0.5994800049523338,8468.0
LABEL_5,0.0,0.0,0.0,2978.0
LABEL_6,0.0,0.0,0.0,2720.0
LABEL_7,0.0,0.0,0.0,1582.0
accuracy,0.5685856954031429,0.5685856954031429,0.5685856954031429,0.5685856954031429
macro avg,0.21404757634265992,0.3191291894570082,0.2549228100727152,40854.0
weighted avg,0.3851026413055913,0.5685856954031429,0.4568955337424155,40854.0
